bins,srs_values,bkg_values
1.0020040080160321e-07,1983.2349582182255,2343.0
3.0060120240480964e-07,2628.9393632195083,2986.0
5.010020040080161e-07,3332.2959472387624,4000.0
7.014028056112224e-07,4125.974278386173,5146.0
9.01803607214429e-07,5237.700463782727,6431.0
1.1022044088176355e-06,6189.922287229559,7606.0
1.3026052104208416e-06,7465.957182827332,8973.0
1.5030060120240482e-06,8434.513790329256,10326.0
1.7034068136272547e-06,9865.248699625252,11797.0
1.9038076152304612e-06,10976.974885021806,13387.0
2.1042084168336678e-06,11870.583659800368,14632.0
2.304609218436874e-06,13111.066378337058,15793.0
2.5050100200400804e-06,13542.496851321546,16578.0
2.7054108216432865e-06,14278.523003450984,17751.0
2.905811623246493e-06,14633.08390441151,18173.0
3.1062124248496996e-06,15214.410042842725,18693.0
3.306613226452906e-06,15374.875274442746,19107.0
3.5070140280561127e-06,15329.714400878667,19227.0
3.707414829659319e-06,15404.66223360203,19117.0
3.907815631262526e-06,15194.231780186434,18967.0
4.108216432865731e-06,15099.10568480678,18577.0
4.308617234468938e-06,15019.35350383192,18408.0
4.5090180360721445e-06,14736.857826643858,17956.0
4.709418837675351e-06,14295.818657156377,17770.0
4.9098196392785576e-06,13541.535981671246,17532.0
5.110220440881764e-06,13063.022895822081,16573.0
5.310621242484971e-06,12688.283732205266,16052.0
5.511022044088177e-06,11885.95757420516,15324.0
5.711422845691383e-06,11932.079317419537,15107.0
5.911823647294589e-06,11331.535785982333,14667.0
6.112224448897796e-06,10682.948772030151,13829.0
6.3126252505010024e-06,10418.709618197781,13369.0
6.513026052104209e-06,9911.37044283963,12907.0
6.7134268537074155e-06,9683.644335718642,12274.0
6.913827655310622e-06,9427.092139088669,12054.0
7.114228456913829e-06,8619.961632837065,11466.0
7.314629258517034e-06,8585.370325426282,11109.0
7.515030060120241e-06,8235.613772717254,10717.0
7.715430861723447e-06,8046.322451608246,10398.0
7.915831663326654e-06,7669.661548690831,10100.0
8.11623246492986e-06,7455.3876166740365,9578.0
8.316633266533067e-06,7208.444116547058,9356.0
8.517034068136272e-06,6765.483207758975,9043.0
8.71743486973948e-06,6580.035365251167,8785.0
8.917835671342685e-06,6403.235349596053,8567.0
9.118236472945893e-06,6247.57446624753,8175.0
9.318637274549098e-06,6026.574446678639,7969.0
9.519038076152306e-06,5868.9918240295165,7695.0
9.719438877755511e-06,5717.174419282191,7537.0
9.91983967935872e-06,5515.39179271929,7298.0
1.0120240480961924e-05,5304.000469653394,7195.0
1.0320641282565132e-05,5220.404810077335,7093.0
1.0521042084168337e-05,5029.191749667729,6913.0
