bins,values
1.6722408026755853e-07,7627.0
5.016722408026756e-07,9831.0
8.361204013377926e-07,11211.0
1.1705685618729099e-06,12421.0
1.5050167224080267e-06,12741.0
1.8394648829431439e-06,12560.0
2.1739130434782607e-06,11363.0
2.508361204013378e-06,9787.0
2.842809364548495e-06,8402.0
3.1772575250836123e-06,6901.0
3.511705685618729e-06,5476.0
3.846153846153846e-06,4425.0
4.180602006688964e-06,3726.0
4.51505016722408e-06,2873.0
4.849498327759197e-06,2311.0
5.183946488294315e-06,1701.0
5.518394648829431e-06,1378.0
5.852842809364549e-06,1037.0
6.187290969899666e-06,885.0
6.521739130434782e-06,704.0
6.8561872909699e-06,745.0
7.1906354515050165e-06,431.0
7.525083612040134e-06,365.0
7.859531772575251e-06,542.0
8.193979933110369e-06,395.0
8.528428093645485e-06,177.0
8.862876254180602e-06,341.0
9.19732441471572e-06,-22.0
9.531772575250836e-06,110.0
9.866220735785953e-06,46.0
1.020066889632107e-05,47.0
1.0535117056856189e-05,128.0
1.0869565217391303e-05,-64.0
1.1204013377926421e-05,-2.0
1.153846153846154e-05,37.0
1.1872909698996656e-05,88.0
1.2207357859531772e-05,71.0
1.254180602006689e-05,-195.0
1.2876254180602007e-05,32.0
1.3210702341137123e-05,-26.0
1.3545150501672241e-05,-29.0
1.387959866220736e-05,7.0
1.4214046822742474e-05,76.0
1.4548494983277592e-05,-1.0
1.488294314381271e-05,68.0
1.5217391304347825e-05,68.0
1.5551839464882943e-05,-53.0
1.588628762541806e-05,-30.0
1.622073578595318e-05,-41.0
1.6555183946488294e-05,-5.0
1.6889632107023412e-05,9.0
1.722408026755853e-05,-37.0
1.7558528428093644e-05,-22.0
1.7892976588628763e-05,25.0
1.822742474916388e-05,-80.0
1.8561872909699e-05,-23.0
1.8896321070234113e-05,39.0
1.923076923076923e-05,-21.0
1.9565217391304346e-05,13.0
1.9899665551839464e-05,30.0
2.0234113712374582e-05,36.0
2.05685618729097e-05,-37.0
2.090301003344482e-05,-80.0
2.1237458193979933e-05,-17.0
2.157190635451505e-05,-22.0
2.1906354515050166e-05,2.0
2.2240802675585284e-05,6.0
2.2575250836120402e-05,31.0
2.290969899665552e-05,-34.0
2.3244147157190638e-05,10.0
2.3578595317725753e-05,-3.0
2.391304347826087e-05,-20.0
2.4247491638795986e-05,-9.0
2.4581939799331104e-05,-21.0
2.491638795986622e-05,-35.0
2.525083612040134e-05,33.0
2.5585284280936454e-05,-1.0
2.5919732441471573e-05,15.0
2.625418060200669e-05,-11.0
2.6588628762541805e-05,24.0
2.6923076923076923e-05,3.0
2.725752508361204e-05,-18.0
2.759197324414716e-05,-14.0
2.7926421404682274e-05,-6.0
2.8260869565217392e-05,1.0
2.8595317725752507e-05,-11.0
2.8929765886287625e-05,8.0
2.9264214046822743e-05,-14.0
2.959866220735786e-05,9.0
2.993311036789298e-05,0.0
3.0267558528428094e-05,9.0
3.060200668896321e-05,4.0
3.093645484949833e-05,-25.0
3.1270903010033445e-05,-12.0
3.160535117056856e-05,4.0
3.193979933110368e-05,-15.0
3.22742474916388e-05,-31.0
3.260869565217391e-05,-7.0
3.294314381270903e-05,-9.0
3.3277591973244146e-05,-13.0
3.3612040133779264e-05,-12.0
3.394648829431438e-05,-15.0
3.42809364548495e-05,7.0
3.461538461538462e-05,-17.0
3.494983277591974e-05,5.0
3.528428093645485e-05,1.0
3.5618729096989966e-05,6.0
3.5953177257525084e-05,16.0
3.62876254180602e-05,12.0
3.662207357859532e-05,-11.0
3.695652173913044e-05,-15.0
3.729096989966555e-05,-12.0
3.762541806020067e-05,-13.0
3.7959866220735786e-05,-7.0
3.8294314381270904e-05,-1.0
3.862876254180602e-05,3.0
3.896321070234114e-05,-3.0
3.929765886287626e-05,-7.0
3.963210702341137e-05,21.0
3.996655518394649e-05,-7.0
4.0301003344481605e-05,-3.0
4.0635451505016724e-05,-6.0
4.096989966555184e-05,-15.0
4.130434782608696e-05,19.0
4.163879598662207e-05,-5.0
4.197324414715719e-05,4.0
4.230769230769231e-05,10.0
4.2642140468227425e-05,1.0
4.297658862876254e-05,-3.0
4.331103678929766e-05,-2.0
4.364548494983278e-05,1.0
4.39799331103679e-05,-6.0
4.431438127090301e-05,2.0
4.464882943143813e-05,-9.0
4.4983277591973245e-05,-8.0
4.531772575250836e-05,3.0
4.565217391304348e-05,-3.0
4.59866220735786e-05,-4.0
4.632107023411371e-05,-4.0
4.665551839464883e-05,3.0
4.6989966555183947e-05,8.0
4.7324414715719065e-05,-11.0
4.765886287625418e-05,23.0
4.79933110367893e-05,0.0
4.832775919732442e-05,10.0
4.866220735785953e-05,-9.0
4.899665551839465e-05,-17.0
4.9331103678929766e-05,12.0
4.9665551839464884e-05,4.0
5e-05,-6.0
5.033444816053512e-05,10.0
5.066889632107023e-05,-21.0
5.100334448160535e-05,-4.0
5.133779264214047e-05,-7.0
5.1672240802675586e-05,3.0
5.2006688963210704e-05,-9.0
5.234113712374582e-05,-5.0
5.267558528428094e-05,-7.0
5.301003344481606e-05,-7.0
5.334448160535117e-05,-2.0
5.367892976588629e-05,-5.0
5.4013377926421406e-05,2.0
5.4347826086956524e-05,0.0
5.468227424749164e-05,-14.0
